Gloss	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
BLOOD_35				musaaji																																	
BLOOD_39																	usao																				
BLOOD_40																			dámu	damu								damu									
BLOOD_42																					iɡazi	ɡazi								nɡátí	khata				iɡazi		íɡàzí
BLOOD_47																									ròmbè												
BLOOD_48																																dí					
BONE_12				ɡɡumba																																	
BONE_2	ifùpa				ífupa	eiɡufa	fupa			fuba		mokua		mukùpa	múfubá	nikhúva	ifuwa	esipa	múɓwa	ʃíɓa		pfúpa	eiɡufa	iɡufa	fúfá	mufùfwa	iɡuha	fupa	ícífuwa				éke̍pá			kúà	
BONE_23													lisapo																								
BONE_24								eβende	ihéndé																												
BONE_3		eves	eves								visi																										
BONE_31																																rápɔ́		lirapho			
BONE_32																					ithambo									rhámbó	rámbú				ithambo		îthâmbò
BREAST_1	ibe̍ːlè	abé	abɛɲ	bbeele		omabele				diele	beno	libéle	lizwele	bele	díbeelé	ipéle	mawele		ɓéle	ɓéle	ibele	jére	eibeere	ibere		ebèːle	mbele	ziwa		vélé	vélé	bɛ́lɛ́	éve̍lé		ibele	bɛlɛ́	ibele
BREAST_14																		eɡundji																			
BREAST_16					itóombo																																
BREAST_2								nɔndɔ	ɲɔ̀ndɔ̀																												
BREAST_22																													nkolo								
BREAST_23							zhamu																		zámú									d̪ámú			
BURN (SOMETHING)_10		dik	aʣiʔi																																		
BURN (SOMETHING)_11												etumba	tumbuka																							sél	
BURN (SOMETHING)_14	ukùpja									uika						úvja		okupja		βa				ɡuhiʃa		kufjà			kupja								
BURN (SOMETHING)_23														kuteːma																			támà				
BURN (SOMETHING)_28											joka																										
BURN (SOMETHING)_34															kóóʃákúóʃá																						
BURN (SOMETHING)_39					aka	kwaka											aka						kwaka				kubaka	waka									
BURN (SOMETHING)_40				kuɡɡja																																	
BURN (SOMETHING)_41							ʦhwa														ʧa	psa			ʦvá							ʂwã		huswa	ukuʧa		ʃa
BURN (SOMETHING)_43								βeːβja	heːhia																												
BURN (SOMETHING)_50																			vùʣa																		
BURN (SOMETHING)_55																														pfurha							
CHILD_1	mwano	mon	mwan	mwana	mwáana	omwana	ana	kaana	mwana		mwana	mwána	mwana		mwenamunda	mwaána	mwana		mwanaḿʦa	mwána	umntwana	aná	omuto	umwana	mwana	muana	ŋwana	mwana		ŋwáná	ŋwanana	àná	omona	mwana	umntwana	ánà	umntwana
CLOUD_22												lipáta																									
CLOUD_27	ìkumbi													diːkumbi			irumbe									elevu			ikkumbi								
CLOUD_29										dituta	tuti																										
CLOUD_35				kile																																	
CLOUD_47															dívúbá																						
CLOUD_49													lilu																								
CLOUD_5		nkut	ŋ̍kut																																	kùtú	
CLOUD_51																																	éléndè				
CLOUD_52																		oshikoɡo																			
CLOUD_55						ekiʧwi		eðwɛɔ	ìtù														ekicu	iɡicu													
CLOUD_61																			vìŋɡu	ɓiŋɡu								winɡu									
CLOUD_67					mavunde											nihútte											ilunde										
CLOUD_73																						tambo															
CLOUD_74							ɡole																		ɡòré									ɡole			
CLOUD_75																																rù					
CLOUD_76																					ilifu									papa	refu				ifu		ífù
COME_21		zu	azu																																		
COME_37															kúvwá																						
COME_44	ùkwisa				kuúza					kuiza	kwuisa						orisho										kwiza										
COME_45																										kufìkà											
COME_46													kutaha																								
COME_50								koːka	óka																												
COME_53																									buda				kuboola								
COME_55																														ta	ta	t͡ɬà		da			
COME_8				kujja		kuija	zha					jà		kwija		úwa		okuja	ʒá	ʤa	za	ʣa	kwija	kuza				ja					ókwíjà		ukuza	jè	úkúzà
COUNT_11								tala	tára								itanla																				
COUNT_13				kubala	vala	ku	bala								badika					waza	bala		kubara			kubadika	kubala							vhala	ukubala		bala
COUNT_2		lan̂	alaŋ								tanɡa	tánɡa																								tánɡ	
COUNT_20																																	tenda				
COUNT_21																								ɡuharura													
COUNT_23																			hasiɓu									hesabu									
COUNT_25	pend																																				
COUNT_27																						welenɡa			verenɡa												
COUNT_30																alakela																					
COUNT_31																																dúédísà					
COUNT_32																														ɬàja							
DEW_19			efop																																		
DEW_26																																				àká	
DEW_27												mamio								mamo																	
DEW_29	umume					orume		emwɛ	imɛ		dimé				dimea							me	orume	urume		lume	lume						olume				
DEW_41				musulo																																	
DEW_44																	laa																				
DEW_45																												mande									
DEW_51																ukáme																					
DEW_58																									dova												
DEW_59							khawa																														
DEW_60																																		museto			
DEW_62																					amazolo														amazolo		amazolo
DEW_63																														mbér̥á							
DIE_1	ukùfwa	wu	awu	kufwa	fwa	okufa	fa	kẅa	kuâ	fa	fwa	kúfa		kufwà	kúfwa	úkhwa	fwa		fa	fa	fa	fa	kufa	ɡupfa	fá	kufwǎ	kuʧa	fa	kufwa	fá	fá	swá	ókúfà	fa	fa	wá	fá
DIE_11													kushwa																								
DIE_13																		okusa																			
DOG_1	imbwà	mvu	mvu	embwa	ḿbwa	embwa				mbua	mbwa	mbwá		mbwà	mbwá			ombwa	mbwá	mɓwá			embwa	imbwa	imbwá	ḿbwà	mva	bwa	mubwa				ómbwà	mmbwa			
DOG_16							bɡa						nja								inja											ɲ̀ʧá			inja		ínjà
DOG_19									kuro																												
DOG_20								ŋɡiteːsolo									ikite																				
DOG_26																						ɡaru															
DOG_28																mwalápwa																					
DOG_29																														mbjáná	mbzáná						
DOG_9																																				mbóándé	
DRINK_1	ukùnwa	nju	aɲu	kuɲra	ŋwa	kuɲwa		ɲẅa	ɲuâ	nua	nwa		kunwa		kúnwa		nwa	okunwa	nwa	nwa			kuɲwa	kuɲwa	mwá		kuŋwa	ɲwa	kuɲwa	nwá	nwá	nwá	ókúnjwà	nwa		nú	
DRINK_10												mela																									
DRINK_15														kutòma												kutòma											
DRINK_2																						mwa															
DRINK_20																																					phuza
DRINK_22																uwúrja																					
DRINK_23																																			ukusela		
DRINK_24																					natha																
EARTH (SOIL)_13											ntoto																										
EARTH (SOIL)_2		si	si						téːri	ixi		nansé	fafasi											isi		paʃi							pósì			vàsé	
EARTH (SOIL)_23							vu											pevi							ivhu									mavu			
EARTH (SOIL)_35														lobà	búlóbá																						
EARTH (SOIL)_37	ùmusilì																																				
EARTH (SOIL)_38				ttaka		eitaka										itthája						dothe	eitaka														
EARTH (SOIL)_40																	uteri																				
EARTH (SOIL)_41								moðaŋɡa																													
EARTH (SOIL)_43					iloóŋɡo														ɗoŋɡó	ɗoŋɡó							bulonɡo	donɡo									
EARTH (SOIL)_48																					umhlabathi														umhlaba		úḿhlâbà
EARTH (SOIL)_49																														misává	misává						
EAR_13										kiiadi																											
EAR_14													zebe																								
EAR_15																			kío									sikio									
EAR_16	ukùtwi				íkutu																	khutu															
EAR_20																niɲáru																					
EAR_21																					indlebe									ndlevé	ndlevé	ʦɛ̀bɛ́		ndevhe	indlebe		índlèbé
EAR_3		alo	alɔ	kutu				koto	ɣoto		kutu						kuri			ʃiʃíjo			okutu			etwì	ɡutu										
EAR_4						okutwi						litoi		kutwì				okuʦi						uɡutwi	itwí				kutwi				étwɪ			lóè	
EAR_9															dící																						
EAT_1	ukùlja	di	aʣi		lja	kulʲa	ja	ja̋	reâ		dia	lía	kuca	kudjà	kúdja	úlja	ila	okulja	la	la	ukudla	dia	kurʲa	kurʲa	djá	kudjǎ		la	kulja	djá	ɡá	ʤá	ókúljà	la	ukutja	dì	dlá
EAT_7										zuela																											
EGG_10												likɛi						eji																		kɛ́í	
EGG_11										ba																											
EGG_13																nijóce																					
EGG_19						eihuli																	eihuri														
EGG_25																																	ésa̍là				
EGG_27								etumbe	itúmbé																												
EGG_3		atji	aki	ɡɡi			ɡai						lii	dì	díjí		ijai							iɡi	zàí	ejì	iɡi	jai	iji			ɪ́					
EGG_31					iɡáaŋka																iqanda														iqanda		íqàndá
EGG_33																			ʒwaí	ʤwaí																	
EGG_37	ilìni																																				
EGG_39																						ʣira															
EGG_40																																		ɡumba			
EGG_41																														tanʣá	tanʣá						
EGG_9											diakì																										
ELEPHANT_10						enjoju																	enjojo														
ELEPHANT_11					ntéembo											itthépo																					
ELEPHANT_12																											mhuli										
ELEPHANT_4	insofu	zok	zɔʔ	enjovu			zhou	nzɔȕ̏	ɲjɔ̀ɣù		nzau	nzoku	tou		nzevu		shofu		ndóvu	nd̪òvu	indlovu	jovu		inzovu	nzou	nɡefu		dovu		ndɮòpfù		t͡ɬòù		ndou	indlovu		indlovu
ELEPHANT_5																																	onjamba				
ELEPHANT_6																																				ɔ́bɔ́	
EYE_2	ilìnso	dis	ʣis	luso	líiso	eliiʃo	esho	iːðɔ	ríːθɔ		disu	líso	liito	dîːso	dîsú	usu	iriso	eho	ʣíʦo	ʣíʦo	ilihlo	díso	eriiʃo	ijiʃo	zísó	eìso	liso	jiʧo	lisi	tíhló	tíhló	ít͡ɬʰɔ́	ísò	lito	ilihloamehlo	ísɔ̀	îsó
EYE_9										menha																											
FACE_22				bweɲi																																	
FACE_24																	kisanɡu																				
FACE_32																ikhove						khópe								ŋɡʱóɦé				khofheni			
FACE_33																																fàt͡ɬʰɛ̀χɔ̀					
FACE_4	ìnsó	asu	asu		wúsu	obuso	so	oðjo	oθiô				sifateho						surwá	usó	ubuso		ahamaiʃo	amaso	uso		buʃu	so							ubuso	bòsò	ubuso
FACE_7															mpàla											mpala											
FALL_1	wu	ku	aku	kuɡwa	ɡwa	kuɡwa	wa		ɣua			kwéja				uwúlùwa	iwa		ɗúmba	wa	wa	ɡwa	kuɡwa	kuɡwa	ɡwa		ɡuɡwa			wà		wà		fhufhurea	wà	kú	ukuwa
FALL_17											bwa																										
FALL_25															pòna											kufona											
FALL_26								βaloka					lauka																				loka				
FALL_30																												anɡuka									
FEATHER_13			endəŋ																																		
FEATHER_28																										lusǒ											
FEATHER_3		asaé								kisiba	nsala	lonsálá		sala	lúsala																					sálá	
FEATHER_32													lifufa																								
FEATHER_33																		olwenja															éɲa̍				
FEATHER_35				kjooja		ebjoja			ruɔjá														ebjoja	ubwoja			boja	ɲoja									
FEATHER_40																	mafuli																				
FEATHER_45					maweha			eβwea																													
FEATHER_51																			púzi	uβuzi																	
FEATHER_59	ìlisako																																				
FEATHER_60																					uphaphe								ipepe		limbáví	fàfá			uphaphe		upape
FEATHER_63																ǹtɛ́nka						nthenɡa			munhènɡá									muthenɡa			
FEATHER_69							siba																							risívá							
FINGERNAIL_19																																				tùkù	
FINGERNAIL_23												linzaka																									
FINGERNAIL_39									roára																												
FINGERNAIL_40						mpambo																															
FINGERNAIL_47																	ushaa											kuʧa									
FINGERNAIL_48					ŋkombazala																																
FINGERNAIL_54																			kófu	fuu																	
FINGERNAIL_62																						khádabo															
FINGERNAIL_65																ɛkátha																					
FINGERNAIL_66																					uzipho														uzipho		uzipo
FINGERNAIL_7	iljàla	jaé	ʣɛɲ	lwala			ɲala	waa		kiala	luzala		linala	djàːlà	lúzadí			olunjala					ekjara	urwara	nzara	lwâla	njala		lwala	ŋwálá		nálá	ólúudjálà	lwala			
FIREWOOD_1							huni				nkuni	kóni				ikʰúni			ŋkúni	uhúni	inkuni	khúni			huni			kuni		tʼiɦúɲí		χʊ́ŋ́		khuni	iiŋkʼuni		iziŋkʼúni
FIREWOOD_12		njaʔa	nʣaʔa																																		
FIREWOOD_26																										ntete											
FIREWOOD_28				luku		enkwi		oko	rokô								nɡwi						enku	inkwi			ŋhwi										
FIREWOOD_30					ŋɡwaáɡu																																
FIREWOOD_35	mukoso																																				
FIREWOOD_8																																				múíá	
FIRE_19												mɔ́tɔ																									
FIRE_3															kápja																					muíá	
FIRE_33										tubia																											
FIRE_36											tija																										
FIRE_37	ùmulilo			mulilo		omulilo							mulilo	mudilo				omulilo			umlilo		omuriro	umuriro		kâlo			mulilo	nʣilo	nʣilu	lɪ̀lɔ̀	óndálu̍		umlilo		umlilo
FIRE_39					móoto		moto									mɔ́ːrɔ	muro		móro	ḿdro		óto			mwòtó		moto	oto						mwoto			
FIRE_40								mwaki	mwàːkì																												
FIRE_8		nduan	nduan																																		
FISH_1																		ohi					inswi				ʃi		nswi							súè	
FISH_11																			fí	nfí				ifi													
FISH_17										mbiji	mbisi	mbísi																					ómbi̍sí				
FISH_22														ʃipa	múʃípá											muʃìpà											
FISH_25	isabì												tapi																	nhlampfi	hlavhi	t͡ɬʰàpì					
FISH_26				ekjeɲanja																																	
FISH_28						emfuru																															
FISH_31																	ikunɡa																				
FISH_32								ekojo	tɛ́ɣa																												
FISH_34																												samaki									
FISH_36					sóomba																	sómba															
FISH_40							hobe									ihópa									hóvé									khovhe			
FISH_41																					inhlanzi														intlanzi		ínhlànzì
FISH_9		kos	kwas																																		
FIVE_1		tan	tan	taano	hano	itanu	shanu	itaanɔ	iθanɔ		tanu	mítáno			taanunombrecardinal	thanu	firaanu		ʦánu	ʦánu	hlanu	isanu	taano	tanu	ʃanu	tanu	itano	tano		ǹt͡ɬʰánu		t͡ɬʰánʊ́	tanu	tʰanu	hlanu	tánò	hlanu
FIVE_8													ketalizoho																								
FLY (MOVE THROUGH AIR)_13		jele	ajele																																		
FLY (MOVE THROUGH AIR)_35											tilumuka																										
FLY (MOVE THROUGH AIR)_39	ukùpupuka			kubuuka			phururuka			vumuka					bùùka										bhururuka												
FLY (MOVE THROUGH AIR)_40																		okutuka										ruka									
FLY (MOVE THROUGH AIR)_45																										kupàlàlà							ókúpãlãlã				
FLY (MOVE THROUGH AIR)_46													kufufa			uváva														haha	haha	fʊ̀fà		fhufha	ukubhabha		
FLY (MOVE THROUGH AIR)_49					ɡuluka			kooloka	ómboka													uluká	kuɡuruka	kuɡuruka					kuuluka								
FLY (MOVE THROUGH AIR)_50						kuhalala																															
FLY (MOVE THROUGH AIR)_51																	irumbuka																				
FLY (MOVE THROUGH AIR)_53																											ɡulala										
FLY (MOVE THROUGH AIR)_59																			nʣí	nʣì																	
FLY (MOVE THROUGH AIR)_6												pumbwa																								pùmb	
FLY (MOVE THROUGH AIR)_62																					ndiza																ukundiza
FOUR_3		njin	ɲiiɲ																																		
FOUR_4				na	ne	inai	nna	iɲa	iɲa		ja	mínei	ne		naajinombrecardinal		fiini		nné	né	ne	nái	na	ne	na	nanka	ine	ne		mùnè		nɛ̀	kwana	na	ne	áná	kane
FOUR_8																ceʃe																					
GIVE_1		ve	avə	kuwa		kuha	pa		hâ			pesa	kufa	kupà	kúpa	uváha		okupa	va	níka	pha		kuha	ɡuha	pá	kufà	kwinha	pa	íkúpa	há		fá		fha	ukupha		ukuphá
GIVE_18																																				kì	
GIVE_27								nɛŋɡanɛ									niinjia														ɲíká						
GIVE_30										bana	ɡana																										
GIVE_32																																	ókuɪhà				
GIVE_38	ukùpeːla				peela																	paʦa~peleka															
GOAT_1	búshí			embuzi		embuzi	mbuʣi	mboi	mbóri				puli		mbùji	imbúuzi			mbúzi	mɓúzi	imbuzi	búzi	mbuzi		mbuʣi	mbuji	mbuli	buzi		mbútʼi	mbuti	pʊ́dí		mbuʣi	imbuzi	bɛ́lɛ́	imbuzi
GOAT_15					mpene																			impere													
GOAT_19											nkombo																						ohombo				
GOAT_21																	savana																				
GOAT_5												taba																									
GOAT_9		kabat	kaban																																		
HAIR (HEAD)_20																										luɲèːne											
HAIR (HEAD)_25				luvule	mvwiíli			osue	ɲjuére					njwěle			ifuli		ɲéle	uɲíle	unwele						lujwili	jwele							inwele		ulunwele
HAIR (HEAD)_35										ndemba																											
HAIR (HEAD)_36																																	ésínɡà				
HAIR (HEAD)_38													milili																								
HAIR (HEAD)_39																		efufu																			
HAIR (HEAD)_4		ésil	esii																																		
HAIR (HEAD)_41																								umuʃaʦi													
HAIR (HEAD)_51	ùmusisi																					síʦi							isusu	nsísí	sísí	rírí					
HAIR (HEAD)_54																ikharári																					
HAIR (HEAD)_55																									vhuʣi									vhuliʣhi			
HAIR (HEAD)_6						eiʃoke					lusuki	nswéi			lúsúki								eiʃokje													sùèí	
HEAD_1		nlô	n̩lo							mutue	ntu	motú	toho			múru		omuʦe				tú															
HEAD_11																			ʃiʦwá	hiʦwá								ʧwa									
HEAD_17									keɔŋɡɔ́																												
HEAD_18							sholo														inhloko				musóró					nhlókó	hlókó	t͡ɬʰɔ́χɔ́		tʰhoho	intloko		ínhlókò
HEAD_3	umùtwe			mutwe	itwe	omutwe		motwɛ̋							mútwe		nrwe						omutwe	umutwe		mutwě	ntwe		mutwe				útwe̍				
HEAD_8																																				sókò	
HEART_1	umùtima	nlem	n̩nəm	mutima						muxima		motéma				nrìma		omutima				tíma	omutima	umuʃaha		eʃìmbà							útímá			lémà	
HEART_18											mbundu																										
HEART_19						omwojo	mojo								móójó				mó						mwojo			ojo	mojo					mwojo			
HEART_23													pilu																								
HEART_24														mukuːnka~mi																							
HEART_25								ŋɡɔɔ	ŋɡɔ́rɔ								nɡoo										ŋholo										
HEART_28					ntumbúla															mbumbu																	
HEART_32																														mbilú	mbilú	pɪ̀lʊ́					
HEART_33																					inhlizijo														inhizijo		ínhlìzíjò
HEAR_1		wôk	awoʔ									jóka																									
HEAR_19					hulika	kuhulila																	kuhurira														
HEAR_22											wa																										
HEAR_23																					zwa									twá	zwá						izwa
HEAR_25	ukùmfwa						hwa			ivua				ùmvwa	kúmvwá	wiíwa		okuuva						kwumva	hwá				kumvwa			út͡ɬwá	ókújévá	pfa	ukuva		
HEAR_26																										kupùʃa											
HEAR_29													kutwa																								
HEAR_32								kweɣwa	íɣwa																		kwiɡwa										
HEAR_33																	iita																				
HEAR_37																			kía	iʃia								sikia									
HEAR_41																						mvera															
HEAR_8																																				ká	
HORN (ANATOMY)_11												liséké																									
HORN (ANATOMY)_16										kimbunɡu																											
HORN (ANATOMY)_19	ulùsenɡo													lusèːnɡò	lúseŋú											lusùnɡwa											
HORN (ANATOMY)_21				ŋŋombi	ihéembe	eihembe											mbembe						eihembe	ihembe			ipembe	pembe									
HORN (ANATOMY)_24											mpaka																										
HORN (ANATOMY)_26																																	ómbínɡà				
HORN (ANATOMY)_27													lunaka																								
HORN (ANATOMY)_28																		ooluniɡa																			
HORN (ANATOMY)_3																																				sébá	
HORN (ANATOMY)_33								oβja	roheá																												
HORN (ANATOMY)_35																			ɲoŋɡá	ɲoŋɡa																	
HORN (ANATOMY)_39																													luja								
HORN (ANATOMY)_41																					uphondo									rìmhònʣò	limhonʣo				iphondo		úphòndò
HORN (ANATOMY)_42							ɲanɡa									ɲɲáka						ɲaŋɡá			ɲanɡa							nàká		lunʰanɡa			
HORN (ANATOMY)_7		nlak	n̩laʔ																																		
HOUSE_1		nda	nda																																		
HOUSE_12												ndáko							ɗáɡo																		
HOUSE_14															nzùbu											nshibu											
HOUSE_16																																				bɔ́kɔ̀	
HOUSE_17				nju		enju					nzo												enju	inzu									onjo				
HOUSE_23					ɲuúmba		ŋumba	ɲomba	ɲombá							inúpa	numba			ɲumɓá		umba			imba		numba	jumba									
HOUSE_30	àndá																																				
HOUSE_31																					indlu									jìndɮù	jindɮu	ǹt͡ɬʊ̀		ǹn̪d̪ù	índɮu		índɮu
HUNGER_1	insalaã	zaé	zɛɲ	njala	nzala	enjala	zhala	joa			nzala	nzala	tala		nzala	itála			nʣája	nʣàa		jala	enjara	inzara	nzara	nzala	nzala	jaa		ndɮàlà	ndɮala	t͡ɬàlà	onjala	ndʰala	índɮala	nz̀a	índɮala
HUNGER_11									hóːta																												
HUNGER_12																	soto																				
HUNGER_16																					lamba																
INTESTINES_11												mosɔpɔ́																									
INTESTINES_13																																				kàtò	
INTESTINES_18											lukutu																										
INTESTINES_2	ubula		n̩ja	kjenda		amala	bula	jaa	màrà						dila		maala						amara	amara	ura	ela	bula					là	onɡeja	lula			
INTESTINES_24					matuúmbu														ʈímbo	ʈumɓo	ithumbu	utumbo						tumbo							amatʰumbu		amathumbu
INTESTINES_29																nrúpo																					
IRON_19																																	utali			tálè	
IRON_20												ebendé																									
IRON_25															mulonda											bilonda											
IRON_36											kisenɡu																										
IRON_39				kjuma	cúuma	ekjoma		kjoma	kèɣɛ̀rà							ijuúma			ʃúma	ʃuma			ekjoma	ikjuma				ʧuma									
IRON_45																											jisinza										
IRON_50	shimbi																				insimbi				simbi									ʦʼímbí	inʦimbi		insimbi
IRON_52																						ʦúlo															
IRON_54																														nʱùmbù							
IRON_8		étjé	ekjɛɲ																																		
KILL_10												boma																									
KILL_11																																				lá	
KILL_17				kutta		kuita																	kwita	kwica													
KILL_18	ùkwipaja													ipaja	kúʃípá			okuʤipaɡa								lwìfà							ókwípájà				
KILL_24																													kujaja								
KILL_25										bonda	ɡonda																										
KILL_27													kubalaja																								
KILL_29					wulaɡa		zwibulaja	koːaa	óraɣa												bulala				úrájá		kubulaɡa					bʊ́lájá		vhulaja	ukubulala		bùlálà
KILL_3		wôé	awiɲ																																		
KILL_30																	nutuja																				
KILL_35																			ua									ua									
KILL_36																				sòŋɡa																	
KILL_40																						pha															
KILL_42																wiíva																					
KILL_43																														dlájá	ɗájá						
KNEE_11						okujwi	dwi							kunwi													izwi										
KNEE_22																										ekùnunɡù											
KNEE_23											kikulu								ɡuŋɡúni	ɡuŋɡúno																	
KNEE_27										pumuna																											
KNEE_28															cínú																						
KNEE_3		abon̂	abɔŋ									libɔ́lɔ́nɡɔ́																								bɔ́nɡɔ́	
KNEE_30	ikùfi																																				
KNEE_33													liŋwele																								
KNEE_34				vvuvi																				ivi													
KNEE_35																							okuju														
KNEE_40								elu	iru								nri																				
KNEE_44																												ɡoti									
KNEE_48					ifuɡámilo																																
KNEE_56																													íɡondo								
KNEE_58																						bóndo															
KNEE_60																nikútha																					
KNEE_61																									bvi												
KNEE_62																																ŋɔ́lɛ́					
KNEE_63																					idolo									ʦolo	ʣolo				idolo		ídolo
KNEE_8																		onɡolo															ònɡòlò				
KNIFE_1							panɡa															lupanɡá			banɡa											báká	
KNIFE_11		ôken̂	okəŋ																																		
KNIFE_18											mbele	mbɛlí			keelè											kafete											
