Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
FAR_1740																												ʧipi					
FAT (ORGANIC SUBSTANCE)_1788	wira	wiɾa	wiɾa	wiɾa	wila	wira	wira	wira	wiɾa	wira	wira	wira	wira	wira	wira	wira	wira	wiɾa	wila	ɸiɾa	wila	wira	wira	wiɾa	wiɾa		wiɾa		wira	wira	wiɾa	ira	wiɾa
FAT (ORGANIC SUBSTANCE)_1789															untu																		
FAT (ORGANIC SUBSTANCE)_1792																												ɡrasa					
FINGERNAIL_1838	siʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʤu	ʃiʥu	siʒu	siʎu	siʎu	siʎu	siʎu	ʃiʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʎu	ʃiʎu	siʎu	ʃiʎu	siʒu	ʃiʎu	siʎu	siʎu	ʃiʎu	ʃilu	ʃiʎu	siʎu	ʃiʥu	siʒu	siʎu	ʃilu
FIRE_1887	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	ɲiɲa	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina
FIVE_1936	piʧqa	piʧqa	piʧχa	piʧka	piʧqa	piʧʁa	piʧka	piʧka	piʧqa	piʃqa	pʰiʃʁa	piʧka	piʦqa	pisqa	piska~piʧqa	piʧqa	piʧχa~piʧqa	piʦqa	piʧʔa	piʃka	piʧʔa		piʧqa	piʧqa	piʧqa	piʧka	pisʁa	piʧka	pisqa	piʧka	piʃqa	piʧka	piʧχa
FIVE_1937																						sinko											
FLESH OR MEAT_3999	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	eːʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯sa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa
FLOWER_1987		sisa		sisa	hisa			sisa	sisa										sisa	sisa	sisa			sisa	sisa	sisa		sisa		sisa	sisa	sisa	
FLOWER_1989		wai̯ta	wai̯ta		wai̯ta		wai̯ta		wai̯ta				weːta		wai̯ta		wai̯ta	wai̯ta	wai̯ta		wai̯ta		wai̯ta	wai̯ta	wai̯ta		wai̯ʧa						wai̯ta
FLOWER_1990						tuktu						tuxtu				tuktu						tuktu											
FLOWER_203	tʼika									tʼika	tʼika			tʼika	tika														tʼika				
FLY (MOVE THROUGH AIR)_118						pari										paːri		paxaɾi	paːli		paːli	pari					paːɾi						paːɾi
FLY (MOVE THROUGH AIR)_180													bu̯elɛ							bula na													
FLY (MOVE THROUGH AIR)_2050		pawa	pawa		pawa		pawa		pawa	pʰawa	pʰawa			pʰawa	pala~pawa		pawa						pawa	pawa	pawa			pawa na		pawa	paː		
FLY (MOVE THROUGH AIR)_2054	hala ʧa																																
FLY (MOVE THROUGH AIR)_2058								kaʒpa																									
FLY (MOVE THROUGH AIR)_2987																													hala nta				
FLY (MOVE THROUGH AIR)_6516																										wambu rina						wambu ri	
FOOT_70	ʧaki	ʈaki	ʧaki	ʧaki	ʈaki	ʈ͡ʂaki	ʈ͡ʂaki	ʧaki	ʈaki	ʧaki	ʧaki	ʧaxi	ʈ͡ʂaki	ʧaki	ʧaki	ʧaki	ʧaki	ʧaki	ʈ͡ʂaki	ʧaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈaki	ʈaki	ʧaki	ʈ͡ʂaki	ʧaki	ʧaki	ʧaki	ʧaxi	ʧaki	ʈ͡ʂaɡi
FOOT_71															ataka																		
FOREHEAD_1632																				ɲawi													
FOREHEAD_2160	matʼi			mati										matʼi	mati														matʼi				
FOREHEAD_2161		ʧimpa							ʧimpa						ʧinpa									ʧimpa	ʧimpa								
FOREHEAD_2162			uɾku			urku	urku						urku			urku	urku	uɾku	ulku		ulku	urku								urku			
FOREHEAD_2163								frente		frente	frente															hurinti		urindi				urinti	
FOREHEAD_2164		paqʈa			paqʈa														paʔʈ͡ʂa		paʔʈ͡ʂa		paqχra	paqʈa	paqʈa						paχɾa		
FOREHEAD_254																											soχuʈ͡ʂi						
FOUR_2214	tawa	tawa	tawa		tawa				tawa	tawa	tawa			tawa	tawa		tawa		tawa		tawa		tawa	tawa	tawa				tawa		taː		
FOUR_2215				ʧusku		ʈ͡ʂusku	ʧusku	ʧusku				ʧusku	ʈ͡ʂusku			ʧusku		ʧusku	ʈ͡ʂusku	ʧusku	ʈ͡ʂusku					ʧusku	ʈ͡ʂusku	ʧusku		ʧusku		ʧusku	ʈ͡ʂusɡu
FOUR_2218																						kuatro											
FOX_1109																																saʧa aʎku	
FOX_2264	atuχ	atoq	atoχ		atoq	atoq	atuk	atux	atoq	atuχ	atuχ		atuq	atuχ	atoq	atuχ	atuχ	atoq	atuʔ		atuʔ		atuχ	atoq	atoq		aʧoχ		atuχ	atuk	atoχ		atoχ
FOX_2265																						zoro						suru					
FOX_2267																				aɲas													
FOX_añas"				aɲas~jalu																													
FULL_117															paqar																		
FULL_2309	huntʼa	hunta	hunta	hunda	hunta	unda	xunda	hunda	hunta	huntʼa	huntʼa	xunda	unta	huntʼa	hunta	hunta	hunta		hunta	xunda	hunta	unda	hunta	hunta	hunta	hunda	xunta	unda	huntʼa	xunda	unta	unda kta	χonta
FULL_2310															ʎinpa																		
FULL_2311																		wiɲaj															
FULL_2313															qapa																		
FULL_2314		saksasa			saksaʃa				saksasa															saksaʃa	saksasa								
GET TIRED_101												sambaja														sambai̯na		sambajana				sambaja	
GET TIRED_107																			utika		utika												
GET TIRED_6848	sai̯kʼu			ʃai̯ku ʧi na		ʃai̯ku	çai̯ku	ʃai̯ku		sai̯kʼu	sai̯kʼu	sai̯ku ri	ʃeːku	sai̯kʼu						ʃai̯xu ʃka		ʃai̯ku	ʃai̯ku					ʃai̯ku na	sai̯kʼu	çai̯ku	sai̯kus		çai̯ɡu
GET TIRED_6849		piʃipa	pisipa		piʃipa				piʃipa						pisipa	piʃipa	pisipa	piʃipaː	piʃipa		piʃipa			piʃipa	piʃipa		piçikaː						
GET TIRED_6855												ami																					
GET TIRED_6858															maʧita ku																		
GIVE_2367	qu	qo	χo	ku na	qo	qu	ku	ku	qo	qu	ɢu		qu	qu	qo	qu	χu		ʔu	ku na	ʔu	qu	qu	qo	qo	kun a	χo	ku na	qu	ku	qo	ku	χo
GIVE_240												kara																					
GOLD_187																						oro	oro										
GOLD_226		qoʎqe			qoʎqe				qoʎqe															qoʎqe	qoʎqe								
GOLD_2470	quri		χoɾi	kuɾi		quri	kuri	kuri		quri	ɢuri	kuri	quri	quri	qori	quri	χuri	qoɾi	huli	kuɾi	quri					kuri		kuri	quri	kuri	qoɾi	kuri	
GOLD_6225																																	χoi̯ʎuʐ
GO_161		ai̯wa			ai̯wa				ai̯wa				eːwa			awa		ai̯wa			ai̯wa			ai̯wa	ai̯wa								awa
GO_2413	ri	ɾi	ɾi	ɾi na	li	ri	ri	ri	ɾi	ri	ri	ri		ri	ri		ri		li	ɾi na		ri~r̝i	ri	li	ɾi	ri na	ɾi	ɾi na	ri	ri	ɾiː	ri	
GRASS_183																															juju		
GRASS_210												uxsa																					
GRASS_212		qewa			qewa	qiwa	kiwa	kʰiwa	qewa										hiwa	xiwa	qiwa	χiwa	qiwa	qewa	qewa	kiwa	χewa	kiwa		kiwa		kiwa	χewa
GRASS_2522	qura		χoɾa							qura			qura	qura	qora		χura		qula		qula								qura				
GRASS_2524																ʧuqu																	
GRASS_2526																		pastu															
GRASS_2527											jerba																						
GRASS_2529							wai̯ʥa																							wai̯ʥa			
GRASS_yuyu"				kiwa~juju																													
GREEN_111				lumaɾ																													
GREEN_211																	χiwa																
GREEN_2579	qʼumir		χumiɽ							qʼumir	qʼumir			qʼumir															qʼumir		qomeɾ		
GREEN_2580								berde								berde		beɾi	biɾdi	biɾdi			berde			birdi	berdi					berde	
GREEN_2581						ʧiʁjax	ʧikjax						ʦiqjaq									ʧiχjaχ								ʧikxak			
GREEN_79																												kiʎu					
GREEN_81															kuku																		
HAIR (HEAD)_261	ʧuxʧa	ʧukʧa	ʧukʧa				ʧuxʧa		ʧukʧa	ʧuxʧa	ʧuxʧa			ʧuxʧa	ʧukʧa		ʧukʧa											ʧukʧa	ʧuxʧa	ʧukʧa	ʧuxʧa		
HAIR (HEAD)_2616		aqʧa		aɡʧa	aqʧa	aχʧa		axʧa	aqʧa			axʧa	aqʦa			aχʧa		aqʦa	aʔʧa	akʧa	aʔʧa	aχʧa	aχʧa	aqʧa	aqʧa	akʧa	aχsa					akʧa	aχʧa
HAND_2670	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maɡi
HAPPY_2719	kusi	kuʃi	kusi	kuʃi uɡ	kuʃi	kuʃi	kuʃi	kuʃi	kuʃi	kusi	kusi		kuʃi	kusi	kusa~kusi	kuʃi	kusi	kuʃi	kuʃi ʎa	kuʃi ʎa	kuʃi ʎa	kuʃi	kuʃi	kuʃi	kuʃi	kuʃi	kuʃi ku	kuʃi	kusi	kuʃi	kusi	kuʃi	kuʃi
HEAD_2769	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma
HEART_2878	sunqu		soŋχo	ʃunɡu	ʃoŋqu	ʃonqo	ʃunɡu	ʃunɡu	ʃoŋqu	sunqu	sunʁu	sunɡu	ʃunqu	sunqu	sonqo	ʃunqu	sunɢu	ʃoɲqu	ʂunʔu	ʃunɡu	ʂunʔu		sunqu	ʃoŋqu	ʃoŋqu	ʃunɡu	ʃuɴχu		sunqu	ʃunɡu	soŋqo	ʃunɡu	ʃoŋχu
HEART_2880																						korazon						kurasun					
HEAR_139							wija ri						wija			wija		wija															
HEAR_2819	uja ɾi	uja ɾi	uja ɾi	uja na	uja li	uja		uja	uja ɾi	uja ɾi	uja ɾi	uja		uja ɾi			uja ri		uja li	uja na	uja	uja	uja ɾi	uja ɾi	uja ɾi	uja na	uja	uja na	uja ɾi	uja ri	uja ɾiː	uja	uja
HEAVY_2932	ʎasa	ʎasa	ʎasaχ	ʎaʃaɡ	ʎasa	ʎaʃa	ʥaça	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎasa	lasa	ʎasa	ʎasa	lasa	ʎasa	lasaq	ʎasaʔ	ʎaʃax	ʎasaʔ	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎaʃa	lasa	ʎaʃa	ʎasa	ʥaça	lasaχ	ʎaʃa	lasa
HEAVY_2935															panra																		
HEAVY_2936															qasupa																		
HIDE (CONCEAL)_2983	paka	paka	paka	paka na	paka	paka	paka	paka	paka	paka	paka	paka ku ʧi	paka	paka	paka	paka	paka	pakaː j	paka	paka na	paka	paka	paka	paka	paka	paka na	paka	paka na	paka	paka	paxa	paka	paɡa
HIDE (CONCEAL)_98			ʧinka ʧi																														
HORN (ANATOMY)_16																												kurmi ta				kurnus	
HORN (ANATOMY)_3166	waχra	waqɾa	waχɾa		waqla	waqra	wakra		waqɾa	waχra	waχra		waqra	waχra	waqra	waχra	waχra	waqɾa	waʔla		waʔla	waχra	waχra	waqɾa	waqɾa		waχɾa		waχra	wakra	waχɾa		waχɾa
HORN (ANATOMY)_3167				ɡaʧu				ʁaʧu~ɡaʧu				kaʧu								kaʧu						kaʧu		kaʧu					
HOT OR WARM_141													aʧa ʧa q			aka χ			akaʈ͡ʂaq		akaʈ͡ʂaq		aka ʧa q										aka
HOT OR WARM_142	ʎiχti																																
HOT OR WARM_7180											rupʰa~r̝upʰa	rupa														rupa		ɾupa			ɾupaχ	rupa k	
HOT OR WARM_7181		qoni	χoɲi	kunuɡ	qoni	quɲu χ	kuɲu	kunu x~kunu x ʒa	qoni	qʼuɲi		kunu		qʼuɲi	qoɲi		χuni			kunku ʎa		χuɲu χ		qoni	qoni		χoɲu		qʼuɲi	kuɲu			χonu
