Language	Word_ID	Gloss	New CognateID	IPA	Notes	Source Notes
Old Italian	OldItalian_EAT_-1	EAT	-2	manʤˈare		"some examples: {Di bere e di mangiar n'accende cura} ""Desire to eat and drink enkindles in us"" [Purg. 23]; {ché Branca Doria non morì unquanche, // e mangia e bee e dorme e veste panni} ""for Branca d' Oria is not dead as yet, // and eats, and drinks, and sleeps, and puts on clothes"" [Inf. 34]. The form manduk-ˈa-re {manducare} 'to eat' is attested twice, both times in the end of a line: {e come 'l pan per fame si manduca} ""and even as bread through hunger is devoured"" [Inf. 32]; {che ogni senso // co li denti d'Amor già mi manduca} ""which already // is devouring all my senses with the teeth // of Love"" [Rime 103]."
Piemontese (Barbania)	BarbaniaPiemontese_EAT_-1	EAT	-2	maŋʤˈe		Borrowed from Old French {mangier} 'to eat'.
Piemontese (Carmagnola)	CarmagnolaPiemontese_EAT_-1	EAT	-2	maŋʤˈe		Borrowed from Old French {mangier} 'to eat'.
Piemontese (Lanzo Torinese)	LanzoTorinesePiemontese_EAT_-1	EAT	-2	maŋʤˈe		Borrowed from Old French {mangier} 'to eat'.
Piemontese (Turinese)	TurinesePiemontese_EAT_-1	EAT	-2	manʤˈe		
Piemontese (Vercellese)	VercellesePiemontese_EAT_-1	EAT	-2	maŋʤˈɛ		Borrowed from Old French {mangier} 'to eat'.
Romansh (Grischun)	RumantschGrischun_EAT_-1	EAT	-2	mənʤˈar		Borrowed from Old French {mangier} 'to eat'.
Romansh (Vallader)	ValladerRomansh_EAT_-1	EAT	-2	mənʤˈar		Borrowed from Old French {mangier} 'to eat'. Distinct from məʎ-ˈar {magliar} 'eat (of animal)' [Pallioppi & Pallioppi 1895: 435].
Sicilian (Catanian)	CatanianSicilian_EAT_-1	EAT	-2	manʧˈaɾi		Borrowed from Old French {mangier} 'to eat'.
Sicilian (Messinese)	MessineseSicilian_EAT_-1	EAT	-2	manʧˈaɾɨ		Giarre: manǯ-ˈa-ɾi {mangiari} 'to eat' [Sorbello 2015]. Borrowed from Old French {mangier} 'to eat'.
Sicilian (Palermitan)	PalermitanSicilian_EAT_-1	EAT	-2	manʧˈaɾi		Ornato 2015; La Bua 2015. Borrowed from Old French {mangier} 'to eat'. Distinct from pisti-ˈa-ɾi {pistiari} of Greek origin, which is more vulgar [Ornato 2015]. Buscemi: manč-ˈa-ɾi {manciari} 'to eat' [Coccimiglio 2016].
Sicilian (Southeastern)	South-EasternSicilian_EAT_-1	EAT	-2	manʧˈaɾi		Borrowed from Old French {mangier} 'to eat'. Distinct from the obsolete term manːuk-ˈa-ɾi {mannucari} 'to eat' [Leggio 2015].
Istro-Romanian	IstroRomanian_FAT (ORGANIC SUBSTANCE)_-1	FAT (ORGANIC SUBSTANCE)	-6	mɒst		Polysemy: 'lard / fat'. Borrowed from Croatian {mast} 'fat'. Distinct from zˈɒbil-ä {zåbilę} 'roux' [Kovačec 2010].
Asturian	Asturian_FEATHER_-1	FEATHER	-2	plˈuma		Borrowed from Latin {pluma} 'feather'. Langreo: plˈum-a {pluma} 'feather / down' [González Rato 2016].
Galician	Galician_FEATHER_-1	FEATHER	-2	plˈuma		Polysemy: 'feather / down'. Borrowed from Latin {pluma} 'feather'. 
Sicilian (Southeastern)	South-EasternSicilian_FEATHER_-1	FEATHER	-2	pˈjuma		Borrowed from Italian {piuma}. Distinct from pˈinː-a {pinna} 'pen, pencil, membrum virile' [Miccichè 2015].
Spanish	CastilianSpanish_FEATHER_-1	FEATHER	-2	plˈuma		Borrowed from Latin {pluma} 'feather'. Distinct from plum-ˈon {plumón} 'down' [Valén 2015].
Dalmatian	Dalmatian_FISH_-1	FISH	-1	pjas		"Some examples are: {ju manako vuai ku͡ọrno per prínz, pas} ""Today I am having meat for lunch, fish"" [Bartoli 2002: 242]; {pas frit} 'fried fish' [Bartoli 2002: 243].The form pyas {pas} is a ""dalmatianized"" borrowing from Venetian. The inherited form is attested by Cubich as {pasch} [Bartoli 2002: 280] and by Petris as {pask} [Bartoli 2002: 295]."
Istro-Romanian	IstroRomanian_FISH_-1	FISH	-2	rˈibæ		Borrowed from Croatian {riba} 'fish'. Byhan also mentions the word pešt {peŝt} [Byhan 1899: 305], which is absent from Kovačec's dictionary and from texts.
Franco-Provençal	SavoyardFranco-Provençal_FLESH OR MEAT_-1	FLESH OR MEAT	-4	vˈjãda		
Occitan	ProvençalOccitan_FLESH OR MEAT_-1	FLESH OR MEAT	-4	vˈjande		Borrowed from French {viande} 'meat'. Distinct from kaɾ {car} 'meat', which is less frequent [Coupier 1995: 1476].
Istro-Romanian	IstroRomanian_FLY (MOVE THROUGH AIR)_-1	FLY (MOVE THROUGH AIR)	-2	letˈi		Borrowed from Croatian {letjeti} 'to fly'.
Megleno-Romanian	MeglenoRomanian_FLY (MOVE THROUGH AIR)_-1	FLY (MOVE THROUGH AIR)	-3	pərəjˈes		-əy- is an imperfective suffix. Probably borrowed from Slavic (cf. Old Church Slavonic {pariti} 'soar, hover'). 
Sardinian (Campidanese)	Campidanese_GIVE_-1	GIVE	-2	donˈaj		Borrowed from Catalan {donar} 'to give' [Narumov 2001: 184]. Domus de Maria: dˈɔn-ay {donai} 'to give' [Fadda 2015].
Dalmatian	Dalmatian_GREEN_-1	GREEN	-1	vjard		"Some examples are: {pletást la butúa la kolár várd} ""rather tends to be of green colour"" [Bartoli 2002: 240]; {col cóplo viard in tiásta} ""with a green hat on her head"" [Bartoli 2002: 299-300]. The form vyard {várd} is a ""dalmatianized"" borrowing from Venetian."
Istro-Romanian	IstroRomanian_GREEN_-1	GREEN	-2	zelˈen		Borrowed from Croatian. The inherited term for 'green' vˈärd-e {vę́rde} is preserved in the meaning 'unripe' and in the term for an evergreen tree {vę́rdele spir} [Kovačec 2010; Sârbu & Frăţilă 1998: 297; Byhan 1899: 380]. Cf. {vęrdu nåp} 'raw turnip'.
Catalan (Valencia)	ValenciaCatalan_HAIR_-1	HAIR	-1	kaβˈeʎ		Distinct from pɛɫ {pèl} ˈbody hairˈ [Pérez i Sanchis]. Borrowed from the Standard Catalan [Pedrós 2015].
Franco-Provençal	SavoyardFranco-Provençal_HAIR_-1	HAIR	-1	ʃevˈøː		Borrowed from French {cheveu} 'hair'. Distinct from pay {pai} 'body hair' [Viret 2013: 1667-1668].
Italian (Foligno)	FolignoItalian_HAND_-1	HAND	-1	mˈano		Probably influenced by Standard Italian {mano} 'hand'. Distinct from vrˈačː-u {vracciu} 'arm' [Monti Barnocchi-Moscati 2016].
Dalmatian	Dalmatian_HEAD_-1	HEAD	-2	tˈjasta		
Franco-Provençal	SavoyardFranco-Provençal_HEAR_-1	HEAR	-3	ɛ̃tˈɛ̃dre		
Franco-Provençal	SavoyardFranco-Provençal_HEAR_-1	HEAR	-3	ɛtˈɛdre		
Occitan	ProvençalOccitan_HEAR_-1	HEAR	-3	entˈɛndɾe		Borrowed from Old French {entendre} 'to hear'. There are two expressions for 'to hear': en=tˈɛnd-ɾe {entèndre} and awz-ˈi {ausi}. Coupier mentions them as synonyms. Distinct from eskut-ˈa {escouta} 'to listen' [Coupier 1995: 457].
Occitan	ProvençalOccitan_HEAVY_-1	HEAVY	-3	luɾd		There are two expressions for 'heavy': luɾd {lourd}, which is evidently borrowed from French, and pˈɛwǯ-e {péuge} ~ pˈez-ant {pesant}. Coupier mentions them as synonyms.
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲa		Of Gaulish origin.
Catalan (Central)	CentralCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲə		Of Gaulish origin. The inherited term kɔɾn {corn} is preserved in the meaning 'horn (instrument)' [Alòs i Font 2015].
Catalan (Manises)	ManisesCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲa		Of Gaulish origin.
Catalan (Minorcan)	MinorcanCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲə		Of Gaulish origin.
Catalan (Northwestern)	North-WesternCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲɛ		Of Gaulish origin.
Catalan (Valencia)	ValenciaCatalan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈaɲa		Of Gaulish origin.
Occitan	ProvençalOccitan_HORN (ANATOMY)_-1	HORN (ANATOMY)	-2	bˈano		Of Gaulish origin. Distinct from kˈɔɾn-o {corno} 'horn as substance' [Coupier 1995: 305].
Portuguese	StandardPortuguese_HORN (ANATOMY)_-1	HORN (ANATOMY)	-3	ʃˈifrə		1989: 544-545. Borrowed from old Spanish {chifle} 'horn', derived from {chiflar} 'to whistle' [Nascentes 1955: 114].
Franco-Provençal	SavoyardFranco-Provençal_KILL_-1	KILL	-9	twaː		
Occitan	ProvençalOccitan_KILL_-1	KILL	-9	tyˈa		Distinct from the obsolete term mat-ˈa {mata} 'to kill' [Coupier 1995: 1447].
Occitan	ProvençalOccitan_KILL_-1	KILL	-9	tyjˈa		Distinct from the obsolete term mat-ˈa {mata} 'to kill' [Coupier 1995: 1447].
Romanian	Romanian_KILL_-1	KILL	-10	aomorˈɨ		1985: 1530; Gancz 2015. Borrowed from some Slavic source [Ciorănescu 2015]. Moldavian: a=omor-ˈɨ {a omorî} 'to kill' [Podiko 1973: 966; Borsh & Zaporozhan 1990: 457].
Megleno-Romanian	MeglenoRomanian_LIVER_-1	LIVER	-6	drop		Borrowed from Macedonian {crn drob} 'liver' or Bulgarian {čeren drob} 'liver'.
Istro-Romanian	IstroRomanian_MALE PERSON_-1	MALE PERSON	-6	mˈuʃki		Borrowed from Croatian {muški} 'male, masculine' (adjective). Cf. the informal nominalized adjective {mužský} 'man' in Czech. Another Croatism, muškarac  {mușcaraţ} 'man' is mentioned by Sârbu and Frăţilă [Sârbu & Frăţilă 1998: 231]. Byhan also mentions the word bərbˈɒt {borbǫ́t} 'man' [Byhan 1899: 198], which is absent from Kovačec's dictionary and from texts.
Istro-Romanian	IstroRomanian_MANY_-1	MANY	-10	ʧˈuda		Borrowed from Croatian Chakavian {čuda} 'much, a lot, many'. In the comparative form may=mˈunt {ma múnt} the old term is preserved [Kovačec 2010; Sârbu & Frăţilă 1998: 231; Byhan 1899: 284; Glavina 1905: 74]. There are also Croatisms nˈoɣo {nóɣo} 'many' and veȶ {vet″} / vˈiše {víșe} 'more', which are sometimes used as well [Kovačec 2010; Sârbu & Frăţilă 1998: 298]. 
Old French	OldFrench_MANY_-1	MANY	-11	mẽj̃nt		"Does not have a separate entry in the EDCT, but very frequently occurs in texts, cf. some examples: {.I. cercle d'or ovré a flors // de maintes diverses colors // les puceles el chief li metent} ""The maids, moreover, wove a fillet of flowers of many various colours and placed it upon her head"" (Erec 1639-1641); {antor li avoit mainte dame} ""round about her was many a fair lady"" (Erec 2405); {Se li ciax chiet et terre font, // dons sera prise mainte aloe} ""if the sky fails and the earth melts, then many a lark will be caught"" (Erec 4408-4409); {li rois Evrains, cui niés je sui, // m'adoba veant mainz prodomes} ""King Evrain, whose nephew I am, dubbed me a knight in the presence of many honourable men"" (Erec 6020-6021). The inherited term mowt {mout} is usually used in the meaning 'very', but occasionally occurs as 'many', cf. {Lucans i fu li botelliers; // mout i ot de boens chevaliers} ""Lucan the cupbearer was there, too, and many another doughty knight"" (Erec 1509-1510)."
Ladin (Fassano)	FassanoLadin_MOUNTAIN_-1	MOUNTAIN	-6	krˈepa		A possible substrate borrowing. Distinct from mont {mont} 'heap / mountain' [DILF 2001: 496].
Ladin (Gardenese)	GardeneseLadin_MOUNTAIN_-1	MOUNTAIN	-6	krəp		"A possible substrate borrowing. There are two expressions for 'mountain' in Forni's dictionary: krəp {crëp} and mont {mont}. The second one is used mostly in the meaning 'mountain pasture', figuratively and in some collocations (cf. {jì sa mont a sië} ""to go to the mountain pasture to scythe grass""; {na mont de libri} ""a heap of books"" (literally ""a mountain""); {na utia da mont} ""alpine refuge""; {l nëiv sun la montes} ""it is snowing on the relief""; {jì da mont su} / {jì sa mont} / {jì su per chëla montes} ""to go to mountains"" [Forni 2015]), while the first one is more common."
Dalmatian	Dalmatian_MOUTH_-1	MOUTH	-4	bwak		A Venetian borrowing.
Portuguese	StandardPortuguese_NEAR_-1	NEAR	-14	pɾˈɔsimu		1989: 42. Borrowed from Latin {proximus}.
Piemontese (Barbania)	BarbaniaPiemontese_NOT_-1	NOT	-5	pa		"Used also in the prohibitive function, cf. {Va pa!} ""Don't go!"" [Fiandro 2015]."
Piemontese (Carmagnola)	CarmagnolaPiemontese_NOT_-1	NOT	-5	pa		"Used also in prohibitive function, cf. {Va pa!} ""Don't go!"" [Sanero 2015]."
Piemontese (Turinese)	TurinesePiemontese_NOT_-1	NOT	-5	pa		
Ladin (Gardenese)	GardeneseLadin_PERSON_-1	PERSON	-1	ˈwɔmo		Borrowed from Italian {uomo} 'man / person'. Gartner also mentions the term krištˈyaŋ {krištáŋ} 'Christian / man' [Gartner 1923: 42, 161] (see the Romansh word for 'man / person'), but in Forni's dictionary it is used only in the first meaning [Forni 2015].
Asturian	Asturian_ROAD_-1	ROAD	-6	kamˈiŋ		Distinct from karetˈeɾ-a {carretera} 'asphalted road'. Langreo: kamˈiŋ {camín} 'road', karetˈeɾ-a {carretera} 'asphalted road' [González Rato 2016].
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_ROAD_-1	ROAD	-6	kamˈi		Borrowed from Gaulish.
Catalan (Central)	CentralCatalan_ROAD_-1	ROAD	-6	kəmˈi		Borrowed from Gaulish {cammano-} 'path, way' < Proto-Celtic {*kanxsman} 'step' via Vulgar Latin {*camminus} 'path, way' [Matasović 2009: 188-189]. Distinct from kərət-ˈeɾ-ə {carretera} 'asphalt road' [Llorens 2015].
Catalan (Manises)	ManisesCatalan_ROAD_-1	ROAD	-6	kamˈi		Borrowed from Gaulish. Distinct from karet-ˈeɾ-a {carretera} 'asphalt road' [Pedrós 2015].
Catalan (Minorcan)	MinorcanCatalan_ROAD_-1	ROAD	-6	kəmˈi		Borrowed from Gaulish.
Catalan (Northwestern)	North-WesternCatalan_ROAD_-1	ROAD	-6	kamˈi		Borrowed from Gaulish.
Catalan (Valencia)	ValenciaCatalan_ROAD_-1	ROAD	-6	kamˈi		Borrowed from Gaulish.
Dalmatian	Dalmatian_ROAD_-1	ROAD	-2	kal		"In Bartoli's vocabulary the inherited term strˈwot-a {stru͡ọta} 'road' serves as the main equivalent [Bartoli 2002: 256], but in the texts Udina uses only the word kal {kal} 'road' (attested in Cubich's vocabulary [Bartoli 2002: 269]), of Venetian origin. Some examples are: {la sińara strasinúa per la kál el su vistát} ""the lady drags her dress crossing the road"" [Bartoli 2002: 244]; {toče le kale fero jelu͡ọte} ""all the roads are frozen"" [Bartoli 2002: 236]; {toče le kale fero pláne} ""all the roads are full (of men)"" [Bartoli 2002: 236]; {le kal fero strét} ""the roads are narrow"" [Bartoli 2002: 247]."
Galician	Galician_ROAD_-1	ROAD	-6	kamˈiɲo		"Example: {Vai camiñando polo camiño} ""He is walking on the road"" [Montoya Bolaños 2016]. Distinct from estɾˈað-a {estrada} 'asphalted road' [Montoya Bolaños 2016]. Distinct from vˈi-a {vía} 'way, road' in a broad or specific meaning (for example, {vía do tren} ""train track"", {Vía Láctea} ""Milky Way"" or {vía de servicio} ""service way"") [Montoya Bolaños 2016]. "
Megleno-Romanian	MeglenoRomanian_ROAD_-1	ROAD	-7	drum		"Distinct from kˈal-i {cáli} 'way' [Capidan 1935: 56]. Cf. {feata află tru cali un zapti} ""the girl met a guard on her way"" [Capidan 1928: 109]; {džumiteata di cali} ""a half of the way"" [Capidan 1928: 111]; {mejlucu di cali} ""a middle of the way"" [Capidan 1928: 117].    _x0015_Borrowed from Greek {δρόμος} 'road'. "
Occitan	ProvençalOccitan_ROAD_-1	ROAD	-6	kamˈiŋ		Of Gaulish origin. Distinct from ʁˈut-o {routo} 'highway, asphalt road' [Coupier 1995: 1251-1252].
Romanian	Romanian_ROAD_-1	ROAD	-7	drum		1985: 325-326; Gancz 2015. Borrowed from Greek {δρόμος} 'road' [Ciorănescu 2015]. Distinct from kˈal-e {cale} 'way' [Gancz 2015]. Moldavian: drum {drum} 'road'[Podiko 1973: 188; Borsh & Zaporozhan 1990: 100].
Spanish	CastilianSpanish_ROAD_-1	ROAD	-6	kamˈino		Borrowed from Gaulish {cammano-} 'path, way' < Proto-Celtic {*kanxsman} 'step' via Vulgar Latin {*camminus} 'path, way' [Matasović 2009: 188-189]. Distinct from karet-ˈeɾ-a {carretera} 'highway, asphalt road' [Valén 2015].
Istro-Romanian	IstroRomanian_ROOT_-1	ROOT	-3	kˈoren		Borrowed from some Slavic source.
Ligurian (Rapallo)	RapalloLigurian_ROOT_-1	ROOT	-1	radˈiʧi		Borrowed from Italian {radice} 'root'.
Megleno-Romanian	MeglenoRomanian_ROOT_-1	ROOT	-3	kˈorin		Borrowed from Macedonian {koren} 'root' or Bulgarian {koren} 'root'.
Istro-Romanian	IstroRomanian_ROUND_-1	ROUND	-1	tond		Apparently with polysemy: 'round 3D / round 2D'. Probably borrowed from Italian or Venetian {tondo} 'round'.
Istro-Romanian	IstroRomanian_SAND_-1	SAND	-2	salbˈun		Probably borrowed from some Romance language, cf. Romansh {sablun} 'sand'. Sârbu and Frăţilă also mention the Croatism pesak {pesac} 'sand' [Sârbu & Frăţilă 1998: 249].
Megleno-Romanian	MeglenoRomanian_SAND_-1	SAND	-3	pisˈok		Borrowed from Macedonian {pesok} 'sand'. 
Romanian	Romanian_SAND_-1	SAND	-4	nisˈip		1985: 987; Gancz 2015. Borrowed from some Slavic source [Ciorănescu 2015]. Moldavian: nisˈip {nisip} 'sand' [Podiko 1973: 594; Borsh & Zaporozhan 1990: 293].
Dalmatian	Dalmatian_SHORT_-1	SHORT	-2	kwart		"The example is {el bragóṅ kart} ""short pants"" [Bartoli 2002: 232]. A Venetian borrowing."
Megleno-Romanian	MeglenoRomanian_SHORT_-1	SHORT	-3	kus		Borrowed from Macedonian {kus} 'short'.
Istro-Romanian	IstroRomanian_SKIN (HUMAN)_-1	SKIN (HUMAN)	-3	kˈoze		Polysemy: 'skin / hide'. Borrowed from some Slavic source.
Megleno-Romanian	MeglenoRomanian_SKIN (HUMAN)_-1	SKIN (HUMAN)	-3	kˈo̯aʒə		Polysemy: 'skin / hide / nutshell'. Apart from ˈkoažə in Capidan's dictionary, there are also such words as ȶˈal-i {cháli} [Capidan 1935: 68] and mišˈin {mișín} [Capidan 1935: 192], but they cannot be found in texts.   _x0015_Borrowed from Slavic.
Sicilian (Catanian)	CatanianSicilian_SMALL_-1	SMALL	-2	nˈiku		Borrowed from Old Greek {μικρός} 'small'.
Sicilian (Palermitan)	PalermitanSicilian_SMALL_-1	SMALL	-2	nˈiku		Buscemi: nˈik-u {nicu} 'small' [Coccimiglio 2016]. Borrowed from Old Greek {μικρός} 'small'.
Sicilian (Southeastern)	South-EasternSicilian_SMALL_-1	SMALL	-2	nˈiku		Borrowed from Old Greek {μικρός} 'small'.
Aromanian	Aromanian_SMALL_2	SMALL	-2	ɲˈikŭ	Originally marked in source as not a borrowing.	Distinct from minˈut-ŭ {minút} 'tiny' [Papahagi 1963: 686; Cunia 2010: 656-657; Dalametra 1906: 132].
