family,cognate_method,eval_method,min_similarity,tree_type,TreeDist,GenQuartetDist
Arabic,gold,Surprisal-uncalibrated,min-0.4,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-uncalibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,none,Surprisal-calibrated,min-0.2,nj,0.586669356,0.12481203
Arabic,none,Hybrid-calibrated,min-0.0,nj,0.586669356,0.12481203
Arabic,none,Surprisal-calibrated,min-0.0,nj,0.586669356,0.126315789
Arabic,none,Surprisal-calibrated,min-0.1,nj,0.586669356,0.126315789
Arabic,none,Surprisal-calibrated,min-0.3,nj,0.586669356,0.126315789
Arabic,PMI,Hybrid-calibrated,min-0.3,ward,0.586961199,0.127067669
Arabic,PMI,Hybrid-calibrated,min-0.4,ward,0.586961199,0.127067669
Arabic,Hybrid,Hybrid-calibrated,min-0.3,ward,0.586961199,0.127067669
Arabic,Hybrid,Hybrid-calibrated,min-0.4,ward,0.586961199,0.127067669
Arabic,gold,Hybrid-calibrated,min-0.1,ward,0.586961199,0.127067669
Arabic,gold,Hybrid-calibrated,min-0.2,ward,0.586961199,0.127067669
Arabic,gold,Hybrid-calibrated,min-0.3,ward,0.586961199,0.127067669
Arabic,Levenshtein,Surprisal-calibrated,min-0.3,nj,0.592859401,0.133834586
Arabic,gold,PMI-calibrated,min-0.3,nj,0.549581305,0.139849624
Arabic,gold,PMI-calibrated,min-0.4,nj,0.549581305,0.139849624
Arabic,Levenshtein,Hybrid-calibrated,min-0.2,nj,0.586669356,0.142857143
Arabic,Levenshtein,Hybrid-calibrated,min-0.3,nj,0.586669356,0.142857143
Arabic,Levenshtein,Hybrid-calibrated,min-0.4,nj,0.586669356,0.142857143
Arabic,Surprisal,PMI-calibrated,min-0.0,nj,0.571173684,0.144360902
Arabic,Hybrid,PMI-calibrated,min-0.0,nj,0.571173684,0.144360902
Arabic,Hybrid,PMI-calibrated,min-0.1,nj,0.571173684,0.144360902
Arabic,none,Surprisal-calibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,none,Hybrid-calibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.0,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.1,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.2,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.3,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,none,Hybrid-uncalibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,Surprisal,PMI-calibrated,min-0.1,nj,0.571173684,0.151879699
Arabic,Hybrid,Surprisal-calibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-calibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.0,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.1,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.2,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.3,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,Hybrid,Hybrid-uncalibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,gold,Surprisal-calibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-calibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.0,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.1,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.2,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.3,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.4,nj,0.549752714,0.151879699
Arabic,gold,Hybrid-uncalibrated,min-0.5,nj,0.549752714,0.151879699
Arabic,none,PMI-calibrated,min-0.3,nj,0.522783636,0.153383459
Arabic,Phonetic,Surprisal-calibrated,min-0.3,ward,0.602915638,0.155639098
Arabic,Phonetic,Surprisal-calibrated,min-0.4,ward,0.602915638,0.155639098
Arabic,Phonetic,Surprisal-calibrated,min-0.5,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.0,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.1,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.2,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.3,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.4,ward,0.606341045,0.155639098
Arabic,Phonetic,Surprisal-uncalibrated,min-0.5,ward,0.606341045,0.155639098
Arabic,none,Hybrid-calibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.0,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.1,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.2,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.3,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.4,ward,0.613147289,0.158646617
Arabic,none,Hybrid-uncalibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-calibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.0,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.1,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.2,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.3,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.4,ward,0.613147289,0.158646617
Arabic,Surprisal,Hybrid-uncalibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-calibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.0,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.1,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.2,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.3,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.4,ward,0.613147289,0.158646617
Arabic,Hybrid,Hybrid-uncalibrated,min-0.5,ward,0.613147289,0.158646617
Arabic,none,Hybrid-calibrated,min-0.1,nj,0.606969649,0.160902256
Arabic,PMI,Hybrid-calibrated,min-0.5,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.0,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.1,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.2,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.3,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.4,nj,0.549752714,0.160902256
Arabic,PMI,Hybrid-uncalibrated,min-0.5,nj,0.549752714,0.160902256
Arabic,Surprisal,Surprisal-calibrated,min-0.4,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-calibrated,min-0.5,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.0,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.1,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.2,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.3,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.4,nj,0.549752714,0.160902256
Arabic,Surprisal,Hybrid-uncalibrated,min-0.5,nj,0.549752714,0.160902256
Arabic,none,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,none,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,PMI,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,Surprisal,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,Hybrid,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,Levenshtein,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,gold,PMI-calibrated,min-0.5,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.0,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.1,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.2,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.3,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.4,ward,0.614680796,0.166165414
Arabic,gold,PMI-uncalibrated,min-0.5,ward,0.614680796,0.166165414
Arabic,gold,Surprisal-calibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.0,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.1,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.2,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.3,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.4,ward,0.616244398,0.166165414
Arabic,gold,Surprisal-uncalibrated,min-0.5,ward,0.616244398,0.166165414
Arabic,Surprisal,Hybrid-calibrated,min-0.0,nj,0.563580498,0.166917293
Arabic,Surprisal,Hybrid-calibrated,min-0.2,nj,0.563580498,0.166917293
Arabic,Hybrid,Hybrid-calibrated,min-0.1,nj,0.563580498,0.166917293
Arabic,gold,PMI-calibrated,min-0.2,nj,0.563580498,0.166917293
Arabic,gold,PMI-calibrated,min-0.5,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.0,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.1,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.2,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.3,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.4,nj,0.596343725,0.171428571
Arabic,gold,PMI-uncalibrated,min-0.5,nj,0.596343725,0.171428571
Arabic,none,Hybrid-calibrated,min-0.4,nj,0.563580498,0.17443609
Arabic,PMI,Hybrid-calibrated,min-0.0,nj,0.557627361,0.17443609
Arabic,PMI,Hybrid-calibrated,min-0.1,nj,0.557627361,0.17443609
Arabic,Surprisal,Hybrid-calibrated,min-0.1,nj,0.563580498,0.17443609
Arabic,Hybrid,Hybrid-calibrated,min-0.0,nj,0.563580498,0.17443609
Arabic,Hybrid,Hybrid-calibrated,min-0.2,nj,0.563580498,0.17443609
Arabic,Levenshtein,PMI-calibrated,min-0.5,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.0,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.1,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.2,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.3,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.4,ward,0.616899101,0.178195489
Arabic,Levenshtein,PMI-uncalibrated,min-0.5,ward,0.616899101,0.178195489
Arabic,Levenshtein,Hybrid-calibrated,min-0.4,complete,0.617044157,0.179699248
Arabic,none,Hybrid-calibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.0,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.1,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.2,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.3,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.4,complete,0.616569669,0.183458647
Arabic,none,Hybrid-uncalibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-calibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.0,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.1,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.2,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.3,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.4,complete,0.616569669,0.183458647
Arabic,PMI,Hybrid-uncalibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,Surprisal,Surprisal-calibrated,min-0.4,complete,0.616569669,0.183458647
Arabic,Hybrid,Surprisal-calibrated,min-0.4,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-calibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.0,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.1,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.2,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.3,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.4,complete,0.616569669,0.183458647
Arabic,Levenshtein,Hybrid-uncalibrated,min-0.5,complete,0.616569669,0.183458647
Arabic,Surprisal,PMI-calibrated,min-0.2,nj,0.563580498,0.184962406
Arabic,Hybrid,PMI-calibrated,min-0.2,nj,0.563580498,0.184962406
Arabic,none,Phonetic-calibrated,min-0.0,nj,0.60110234,0.189473684
Arabic,none,Surprisal-calibrated,min-0.4,complete,0.619639378,0.190977444
Arabic,PMI,Surprisal-calibrated,min-0.4,complete,0.619639378,0.190977444
Arabic,Levenshtein,Surprisal-calibrated,min-0.4,complete,0.619639378,0.190977444
Arabic,PMI,PMI-calibrated,min-0.3,ward,0.627517157,0.191729323
Arabic,Levenshtein,PMI-calibrated,min-0.0,nj,0.629890736,0.192481203
Arabic,none,PMI-calibrated,min-0.2,ward,0.641938608,0.193984962
Arabic,Phonetic,Hybrid-calibrated,min-0.5,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.0,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.1,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.2,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.3,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.4,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,min-0.5,nj,0.60110234,0.193984962
Arabic,Phonetic,Hybrid-uncalibrated,N/A,MaxCladeCredibility,0.60110234,0.193984962
Arabic,Levenshtein,Surprisal-calibrated,min-0.0,nj,0.624892547,0.193984962
Arabic,Levenshtein,Surprisal-calibrated,min-0.2,nj,0.624892547,0.193984962
Arabic,Levenshtein,Hybrid-calibrated,min-0.0,nj,0.624892547,0.193984962
Arabic,Levenshtein,Hybrid-calibrated,min-0.1,nj,0.624892547,0.193984962
Arabic,PMI,Hybrid-calibrated,min-0.4,nj,0.644647877,0.194736842
Arabic,Phonetic,Hybrid-calibrated,min-0.5,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.0,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.1,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.2,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.3,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.4,ward,0.60110234,0.196240602
Arabic,Phonetic,Hybrid-uncalibrated,min-0.5,ward,0.60110234,0.196240602
Arabic,Levenshtein,Surprisal-calibrated,min-0.1,nj,0.624892547,0.196992481
Arabic,none,PMI-calibrated,min-0.1,nj,0.581162068,0.2
Arabic,none,Surprisal-calibrated,min-0.4,ward,0.676508072,0.20075188
Arabic,PMI,Surprisal-calibrated,min-0.0,ward,0.676508072,0.20075188
Arabic,PMI,Surprisal-calibrated,min-0.1,ward,0.676508072,0.20075188
Arabic,PMI,Surprisal-calibrated,min-0.2,ward,0.676508072,0.20075188
Arabic,Surprisal,Surprisal-calibrated,min-0.3,ward,0.676508072,0.20075188
Arabic,Hybrid,Surprisal-calibrated,min-0.3,ward,0.676508072,0.20075188
Arabic,Hybrid,Surprisal-calibrated,min-0.4,ward,0.676508072,0.20075188
Arabic,gold,Surprisal-calibrated,min-0.3,ward,0.676508072,0.20075188
Arabic,Surprisal,Levenshtein-calibrated,min-0.1,ward,0.676508072,0.203759398
Arabic,Levenshtein,Surprisal-calibrated,min-0.3,ward,0.676508072,0.203759398
Arabic,Levenshtein,Surprisal-calibrated,min-0.4,ward,0.676508072,0.203759398
Arabic,Levenshtein,Hybrid-calibrated,min-0.2,ward,0.676508072,0.203759398
Arabic,Levenshtein,Hybrid-calibrated,min-0.3,ward,0.676508072,0.203759398
Arabic,Levenshtein,Levenshtein-calibrated,min-0.3,ward,0.676508072,0.203759398
Arabic,gold,Levenshtein-calibrated,min-0.0,ward,0.676508072,0.203759398
Arabic,gold,Levenshtein-calibrated,min-0.1,ward,0.676508072,0.203759398
Arabic,gold,Levenshtein-calibrated,min-0.3,ward,0.676508072,0.203759398
Arabic,Levenshtein,Phonetic-calibrated,min-0.3,complete,0.656067546,0.204511278
Arabic,none,PMI-calibrated,min-0.2,nj,0.586875855,0.207518797
Arabic,PMI,Phonetic-calibrated,min-0.3,complete,0.656067546,0.207518797
Arabic,none,Surprisal-calibrated,min-0.1,ward,0.666816822,0.208270677
Arabic,none,Surprisal-calibrated,min-0.2,ward,0.666816822,0.208270677
Arabic,none,Hybrid-calibrated,min-0.2,ward,0.666816822,0.208270677
Arabic,Phonetic,Surprisal-calibrated,min-0.0,nj,0.60110234,0.208270677
Arabic,Phonetic,Surprisal-calibrated,min-0.1,nj,0.60110234,0.208270677
Arabic,Phonetic,Surprisal-calibrated,min-0.2,nj,0.60110234,0.208270677
Arabic,Phonetic,Surprisal-calibrated,min-0.4,nj,0.60110234,0.208270677
Arabic,Phonetic,Hybrid-calibrated,min-0.2,nj,0.60110234,0.208270677
Arabic,Phonetic,Hybrid-calibrated,min-0.3,nj,0.60110234,0.208270677
Arabic,Phonetic,Hybrid-calibrated,min-0.4,nj,0.60110234,0.208270677
Arabic,PMI,Hybrid-calibrated,min-0.2,ward,0.666816822,0.208270677
Arabic,Surprisal,Hybrid-calibrated,min-0.1,ward,0.666816822,0.208270677
Arabic,Hybrid,Surprisal-calibrated,min-0.1,ward,0.666816822,0.208270677
Arabic,Levenshtein,PMI-calibrated,min-0.5,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.0,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.1,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.2,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.3,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.4,nj,0.62422254,0.209774436
Arabic,Levenshtein,PMI-uncalibrated,min-0.5,nj,0.62422254,0.209774436
Arabic,gold,Phonetic-calibrated,min-0.1,ward,0.664724098,0.209774436
Arabic,PMI,Hybrid-calibrated,min-0.3,nj,0.644647877,0.210526316
Arabic,none,PMI-calibrated,min-0.5,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.0,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.1,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.2,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.3,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.4,ward,0.633580196,0.211278195
Arabic,none,PMI-uncalibrated,min-0.5,ward,0.633580196,0.211278195
Arabic,PMI,PMI-calibrated,min-0.5,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.0,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.1,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.2,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.3,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.4,ward,0.633580196,0.211278195
Arabic,PMI,PMI-uncalibrated,min-0.5,ward,0.633580196,0.211278195
Arabic,Surprisal,PMI-calibrated,min-0.5,ward,0.633580196,0.211278195
